Failed to get ticker 'CVRD' reason: Failed to perform, curl: (28) Operation timed out after 10003 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
Total ETFs: 1000
NULG: 500 rows OK
NULV: 500 rows OK
NUMG: 500 rows OK
NUMI: 316 rows OK
NUMV: 500 rows OK
NURE: 500 rows OK
Batch 40: inserted 9035 rows
NUSA: 500 rows OK
NUSB: 499 rows OK
NUSC: 500 rows OK
NVBT: 500 rows OK
NVBU: 370 rows OK
NVBW: 500 rows OK
NVD: 500 rows OK
NVDD: 500 rows OK
NVDG: 341 rows OK
NVDL: 500 rows OK
NVDO: 177 rows OK
NVDQ: 500 rows OK
NVDS: 500 rows OK
NVDU: 500 rows OK
NVDW: 298 rows OK
NVDX: 500 rows OK
NVDY: 500 rows OK
NVII: 230 rows OK
NVIR: 500 rows OK
NVIT: 109 rows OK
Batch 41: inserted 8524 rows
NVOH: 326 rows OK
NVOX: 349 rows OK
NVTX: 159 rows OK
NVYY: 240 rows OK
NXTE: 500 rows OK
NXTG: 500 rows OK
NXTI: 500 rows OK
NYF: 500 rows OK
NYM: 115 rows OK
NZAC: 500 rows OK
NZUS: 499 rows OK
OACP: 500 rows OK
OAEM: 500 rows OK
OAIM: 500 rows OK
OAKM: 349 rows OK
OALC: 500 rows OK
OARK: 500 rows OK
OASC: 467 rows OK
OBIL: 500 rows OK
OBND: 500 rows OK
Batch 42: inserted 8504 rows
OBOR: 500 rows OK
OBTC: 500 rows OK
OCIO: 500 rows OK
OCTB: 134 rows OK
OCTH: 500 rows OK
OCTJ: 500 rows OK
OCTM: 379 rows OK
OCTP: 486 rows OK
OCTT: 500 rows OK
OCTU: 393 rows OK
OCTW: 500 rows OK
OCTZ: 500 rows OK
ODDS: 499 rows OK
ODHY: 208 rows OK
ODTE: 17 rows OK
OEF: 500 rows OK
OEFA: 500 rows OK
OGIG: 500 rows OK
OGSP: 499 rows OK
OIH: 500 rows OK
Batch 43: inserted 8615 rows
OILD: 500 rows OK
OILK: 500 rows OK
OILT: 500 rows OK
OILU: 500 rows OK
OKLL: 212 rows OK
OKLS: 103 rows OK
OKTG: 110 rows OK
