
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [27/50] EAOA... 502 rows ✓
  [27/50] EAOK... 502 rows ✓
  [27/50] EAOM... 502 rows ✓
  [27/50] EAOR... 502 rows ✓
  [27/50] EAPR... 502 rows ✓
  [27/50] EART... 502 rows ✓
  [27/50] EASG... 502 rows ✓
  → Inserted 9485 rows into foreign_etf_prices

  [28/50] EASY... 140 rows ✓
  [28/50] EATZ... 502 rows ✓
  [28/50] EBI... 288 rows ✓
  [28/50] EBIT... 447 rows ✓
  [28/50] EBIZ... 502 rows ✓
  [28/50] EBND... 502 rows ✓
  [28/50] EBUF... 454 rows ✓
  [28/50] ECH... 502 rows ✓
  [28/50] ECML... 502 rows ✓
  [28/50] ECNS... 502 rows ✓
  [28/50] ECON... 502 rows ✓
  [28/50] ECOW... 502 rows ✓
  [28/50] EDC... 502 rows ✓
  [28/50] EDEN... 502 rows ✓
  [28/50] EDGE... 314 rows ✓
  [28/50] EDGF... 388 rows ✓
  [28/50] EDGH... 388 rows ✓
  [28/50] EDGI... 388 rows ✓
  [28/50] EDGU... 388 rows ✓
  [28/50] EDIV... 502 rows ✓
  → Inserted 8717 rows into foreign_etf_prices

  [29/50] EDOG... 502 rows ✓
  [29/50] EDOW... 502 rows ✓
  [29/50] EDV... 502 rows ✓
  [29/50] EDZ... 502 rows ✓
  [29/50] EEE... 56 rows ✓
  [29/50] EELV... 502 rows ✓
  [29/50] EEM... 502 rows ✓
  [29/50] EEMA... 502 rows ✓
  [29/50] EEMO... 502 rows ✓
  [29/50] EEMS... 502 rows ✓
  [29/50] EEMV... 502 rows ✓
  [29/50] EEMX... 502 rows ✓
  [29/50] EES... 502 rows ✓
  [29/50] EET... 502 rows ✓
  [29/50] EETH... 502 rows ✓
  [29/50] EEV... 502 rows ✓
  [29/50] EFA... 502 rows ✓
  [29/50] GLD... 502 rows ✓
  [29/50] HYG... 502 rows ✓
  [29/50] IEFA... 502 rows ✓
  → Inserted 9594 rows into foreign_etf_prices

  [30/50] ITOT... 502 rows ✓
  [30/50] IVV... 502 rows ✓
  [30/50] LQD... 502 rows ✓
  [30/50] MMMA... 86 rows ✓
  [30/50] MMSC... 502 rows ✓
